Wings					                1927/1928 	Famous Players–Lasky (Lucien Hubbard, Jesse L. Lasky, B.P. Schulberg, & Adolph Zukor, producers)
Saving Private Ryan			1998		Steven Spielberg, Ian Bryce, Mark Gordon, and Gary Levinsohn
American Beauty				1999		Bruce Cohen and Dan Jinks
The Cider House Rules			1999		Richard N. Gladstein
The Green Mile				1999		Frank Darabont and David Valdes
The Insider				1999		Pieter Jan Brugge and Michael Mann
The Sixth Sense				1999		Frank Marshall, Kathleen Kennedy, and Barry Mendel
Gladiator				2000		Douglas Wick, David Franzoni, and Branko Lustig
Chocolat				2000		David Brown, Kit Golden, and Leslie Holleran
Crouching Tiger, Hidden Dragon		2000		William Kong, Hsu Li-kong, and Ang Lee
Erin Brockovich				2000		Danny DeVito, Michael Shamberg, and Stacey Sher
Traffic					2000		Edward Zwick, Marshall Herskovitz, and Laura Bickford
A Beautiful Mind			2001		Brian Grazer and Ron Howard
Gosford Park				2001		Robert Altman, Bob Balaban, and David Levy
In the Bedroom				2001		Graham Leader, Ross Katz, and Todd Field
The Lord of the Rings: Fellowship	2001		Peter Jackson, Fran Walsh, and Barrie M. Osborne
Moulin Rouge!				2001		Martin Brown, Baz Luhrmann, and Fred Baron
Chicago					2002		Martin Richards
Gangs of New York			2002		Alberto Grimaldi and Harvey Weinstein
The Hours				2002		Scott Rudin and Robert Fox
The Lord of the Rings: The Two Towers	2002		Barrie M. Osborne, Fran Walsh, and Peter Jackson
The Pianist				2002		Roman Polanski, Robert Benmussa, and Alain Sarde
The Lord of the Rings: The Return 	2003		Barrie M. Osborne, Peter Jackson, and Fran Walsh
Lost in Translation			2003		Ross Katz and Sofia Coppola
Master and Commander: The Far Side	2003		Samuel Goldwyn Jr., Peter Weir, and Duncan Henderson
Mystic River				2003		Robert Lorenz, Judie G. Hoyt, and Clint Eastwood
Seabiscuit				2003		Kathleen Kennedy, Frank Marshall, and Gary Ross
Million Dollar Baby			2004		Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg
The Aviator				2004		Michael Mann and Graham King
Finding Neverland			2004		Richard N. Gladstein and Nellie Bellflower
Ray					2004		Taylor Hackford, Stuart Benjamin, and Howard Baldwin
Sideways				2004		Michael London
Crash					2005		Paul Haggis and Cathy Schulman
Brokeback Mountain			2005		Diana Ossana and James Schamus
Capote					2005		Caroline Baron, William Vince, and Michael Ohoven
Good Night, and Good Luck		2005		Grant Heslov
Munich					2005		Steven Spielberg, Kathleen Kennedy, and Barry Mendel
The Departed				2006		Graham King
Babel					2006		Alejandro González Iñárritu, Steve Golin, and Jon Kilik
Letters from Iwo Jima			2006		Clint Eastwood, Steven Spielberg, and Robert Lorenz
Little Miss Sunshine			2006		David T. Friendly, Peter Saraf, and Marc Turtletaub
The Queen				2006		Andy Harries, Christine Langan, and Tracey Seaward
No Country for Old Men			2007		Scott Rudin, Joel Coen, and Ethan Coen
Atonement				2007		Tim Bevan, Eric Fellner, and Paul Webster
Juno					2007		Lianne Halfon, Mason Novick, and Russell Smith
Michael Clayton				2007		Jennifer Fox, Kerry Orent, and Sydney Pollack
There Will Be Blood			2007		Paul Thomas Anderson, Daniel Lupi, and JoAnne Sellar
Slumdog Millionaire			2008		Christian Colson
The Curious Case of Benjamin Button	2008		Kathleen Kennedy, Frank Marshall, and Ceán Chaffin
Frost/Nixon				2008		Ron Howard, Brian Grazer, and Eric Fellner
Milk					2008		Bruce Cohen and Dan Jinks
The Reader				2008		Anthony Minghella, Sydney Pollack, Donna Gigliotti, and Redmond Morris
The Hurt Locker				2009		Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro
Avatar					2009		James Cameron and Jon Landau
The Blind Side				2009		Gil Netter, Andrew A. Kosove, and Broderick Johnson
An Education				2009		Finola Dwyer and Amanda Posey
Inglourious Basterds			2009		Lawrence Bender
Precious: Based on the Novel "Push" 	2009		Lee Daniels, Sarah Siegel-Magness, and Gary Magness
A Serious Man				2009		Joel Coen and Ethan Coen
Up in the Air				2009		Daniel Dubiecki, Ivan Reitman, and Jason Reitman
The King's Speech			2010		Iain Canning, Emile Sherman, and Gareth Unwin
Black Swan				2010		Scott Franklin, Mike Medavoy, and Brian Oliver
Inception				2010		Christopher Nolan and Emma Thomas
The Kids Are All Right			2010		Gary Gilbert, Jeffrey Levy-Hinte, and Celine Rattray
127 Hours				2010		Danny Boyle, John Smithson, and Christian Colson
The Social Network			2010		Dana Brunetti, Ceán Chaffin, Michael De Luca, and Scott Rudin
Toy Story 3				2010		Darla K. Anderson
True Grit				2010		Joel Coen, Ethan Coen, and Scott Rudin
Winter's Bone				2010		Alix Madigan and Anne Rosellini
The Artist				2011		Thomas Langmann
The Descendants				2011		Jim Burke, Alexander Payne, and Jim Taylor
Extremely Loud & Incredibly Close	2011		Scott Rudin
The Help				2011		Brunson Green, Chris Columbus, and Michael Barnathan
Hugo					2011		Graham King and Martin Scorsese
Moneyball				2011		Michael De Luca, Rachael Horovitz, and Brad Pitt
War Horse				2011		Steven Spielberg and Kathleen Kennedy
Argo					2012		Grant Heslov, Ben Affleck, and George Clooney
Amour					2012		Margaret Menegoz, Stefan Arndt, Veit Heiduschka, and Michael Katz
Beasts of the Southern Wild		2012		Dan Janvey, Josh Penn, and Michael Gottwald
Django Unchained			2012		Stacey Sher, Reginald Hudlin, and Pilar Savone
Lincoln					2012		Steven Spielberg and Kathleen Kennedy
Les Misérables				2012		Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh
Silver Linings Playbook			2012		Donna Gigliotti, Bruce Cohen, and Jonathan Gordon
Zero Dark Thirty			2012		Mark Boal, Kathryn Bigelow, and Megan Ellison
12 Years a Slave			2013		Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas
American Hustle				2013		Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon
Dallas Buyers Club			2013		Robbie Brenner and Rachel Winter
Gravity					2013		Alfonso Cuarón and David Heyman
Her					2013		Megan Ellison, Spike Jonze, and Vincent Landay
Nebraska				2013		Albert Berger and Ron Yerxa
Philomena				2013		Gabrielle Tana, Steve Coogan, and Tracey Seaward
The Wolf of Wall Street			2013		Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff
Birdman 				2014		Alejandro G. Iñárritu, John Lesher, and James W. Skotchdopole
American Sniper				2014		Clint Eastwood, Andrew Lazar, Robert Lorenz, Bradley Cooper, and Peter Morgan
Boyhood					2014		Richard Linklater and Cathleen Sutherland
The Grand Budapest Hotel		2014		Wes Anderson, Scott Rudin, Steven Rales, and Jeremy Dawson
The Imitation Game			2014		Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman
Selma					2014		Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner
The Theory of Everything		2014		Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten
Whiplash				2014		Jason Blum, Helen Estabrook, and David Lancaster
Spotlight				2015		Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar
The Big Short				2015		Dede Gardner, Jeremy Kleiner, and Brad Pitt
Bridge of Spies				2015		Steven Spielberg, Marc Platt, and Kristie Macosko Krieger
Brooklyn				2015		Finola Dwyer and Amanda Posey
Mad Max: Fury Road			2015		Doug Mitchell and George Miller
The Martian				2015		Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam
The Revenant				2015		Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent, and Keith Redmon
Room					2015		Ed Guiney
Moonlight				2016		Adele Romanski, Dede Gardner, and Jeremy Kleiner
Arrival					2016		Shawn Levy, Dan Levine, Aaron Ryder, and David Linde
Fences					2016		Scott Rudin, Denzel Washington, and Todd Black
